目录,题目类型,大题题干,难易度,,,,,,,
,单选题,米开朗基罗的代表作_________至今仍站在弗洛伦萨的阿诺河边，炯炯的双目在审视着所有来到这个城市的人，作品以古喻今，展现了弗洛伦萨人高贵和不屈的精神，以雕塑人物身体之美来肯定人格之美。P51,易,《大卫》,,,,,,
,单选题,“微言大义”_________笔法。,易,《春秋》,,,,,,
,单选题,我国第一部纪传体通史是________。,易,《史记》,,,,,,
,单选题,黍离之悲是______之悲。——《大学人文教程》P167,易,故国,,,,,,
,单选题,诗风古直苍凉，朴实无华，气韵沉雄，代表了建安文学的特点的诗人是____________,易,曹操,,,,,,
,单选题,被闻一多先生誉为“诗中的诗，顶峰中的顶峰”的诗篇是________,易,《春江花月夜》,,,,,,
,单选题,鲁迅所生活的年代正是中国从传统向现代转换最艰难、最曲折、最痛苦的年代，他感应民族、时代的召唤，先是走科学救国的道路，后来转向文学救国的道路。经过“中国是一个铁屋子万难打破也许能打破”的思辨，鲁迅开始时代的“呐喊”，这便是中国现代文学史上第一部真正具有划时代精神和美学追求的小说_____________。开启了自己的小说创作生涯，也开启了中国现代小说的序幕。,易,《狂人日记》,,,,,,
,单选题,艺术家比较常人优胜，就在他们的情感比较真挚，感觉比较敏锐，观察比较深刻，想象比较丰富。他们不但能见到比较广大的世界，而且引导我们一般人到较广大的世界里去观赏。像一位英国学者所说的，艺术家“借他们的眼睛给我们去看”（lend their eyes for us to see）___________是启发人生自然秘奥的灵钥。——朱光潜,易,艺术,,,,,,
,单选题,__________是东汉末年伟大的医学家，被后世尊为“医圣”。所著《伤寒杂病论》，是我国中医临床医学的奠基性经典巨著。,易,张机（张仲景）,,,,,,
,单选题,_________是第一本由稻盛和夫阐释自己人生哲学与经营哲学的书，创作于稻盛和夫担任日航董事长之前，他荣休后担任京瓷名誉会长之时。——287,易,《活法》,,,,,,
,单选题,习近平：__________________正是中国传统文化中的精华。,易,王阳明心学,,,,,,
,单选题,大画家张择端的___________________描绘了北宋都城全盛时期的生活。展现了彼时广阔的生活画面。洋溢着安乐和谐的气氛，快活又热闹。,易,《清明上河图》,,,,,,
