目录,题目类型,大题题干,正确答案,难易度,建议分数,,,
,单选题,_______，德之贼也。（《论语·阳货》）,A,易,50,乡愿,,
,单选题,_____也者，天下之大本也；_____也者，天下之达道也。（《中庸》）,B,易,50,中、和,,
,单选题,_______是满族妇女传统服装和中国南方服饰以及西洋晚礼服的融合。它充分体现了东方女性的体态美和曲线美，同时有一种端庄、稳重、雅致的风格。含蓄细腻，活泼又不流于张狂，优雅大方而合于天性。再加上色彩与款式的变化，一改世人对中国服装单调保守的印象。,B,易,100,旗袍,,
,单选题,药王:__________,C,易,100,孙思邈,,
,单选题,（    ）早在西汉时就被视为“六经之首”，其实是中华传统文化的第一元典。它讲究阴阳呼应、刚柔并济、周而复始，生生不息。其德义精神、人文内涵博大精深，其价值远远不是占卜算卦的神秘技艺，勃发着包罗宇宙、经纬人伦的深刻哲理。其代表的文化模式，深深影响了中华民族的科技文明、民族性格和中国人的思维方式和文化心理。中华书局其他版本亦可靠。另，推荐选本:,C,易,100,《周易》,,
,单选题,德国哲学家______在1949年《历史的起源与目的》中提出了一个命题——人类文明的“轴心时代”。,D,难,100,雅思贝尔斯,,
,单选题,清代儒将（        ），曾在江苏无锡梅园题一名联:发上等愿，结中等缘，享下等福。择高处立，寻平处住，向宽处行。这24字浓缩了深刻的哲理。李嘉诚的办公室悬挂的唯一的一幅书法即是这个联。拓展资料：1.讲座：《左宗棠的官场逆袭之路》: 一个文凭资历不够的人，却气冲斗牛，实现官场逆袭。他还是个慕僚时，时称“国家不可一日无湖南，湖南不可一日无左宗棠”，此湘上农人到底奇在哪里？https://pro.superlib.com/pc/video/video/play?vid=80799622.纪录片：《河西走廊》左宗棠抬棺出征 https://www.iqiyi.com/v_19rra6uwy8.html?vfm=f_191_360y&amp;fv=p_09_01（资料库里有《河西走廊》哔哩哔哩免费版链接，只是弹幕多）,D,易,100,左宗棠,,
,填空题,物有______，事有终始，知所先后，则近道矣。（《大学》）,,易,100,本末,,
,填空题,古人学问无遗力，少壮工夫老始成。纸上得来终觉浅，绝知此事要______。——陆游《冬夜读书示子聿》答案：躬行,,易,100,躬行,,
,填空题,中国传统学术的两大纲:_________之学、___________之学。（钱穆）答案：心性    治平同学们，今天我们谈中华文化，文化这个概念浩大无方，我们首先借钱穆的话说说纲领。我们希望大家拎起中华优秀文化的真精神来。课程是一个共同成长，交流的平台。课程不仅仅是知识与理论的，我们深深希望对大家的生命养成有切实受用。附录：钱穆纪录片两个，比较长，感兴趣的小伙伴请关注。央视·天涯共此时·钱穆：http://news.cntv.cn/2014/10/08/VIDE1412736120592839.shtml 凤凰视频·我的中国心·钱穆：https://mp.weixin.qq.com/s/EVNTL2MwiQDkL1nm8Hj1Iw ,,易,100,心性,治平,
,填空题,外重内拙：以____注者巧，以钩注者惮，以____注者殙。其巧一也，而有所矜也，则重外也。凡外重者内拙。——《庄子》打赌，用瓦块做赌注的时候，心里没有负担，心思灵巧。用铜钩做赌注的时候，心里便有所顾忌。用黄金做赌注的时候，赌输的恐惧就会使他心思昏乱。赌的技巧是一样的，但是由于心里有了负担，表现出来的技巧就大不一样了，这就是看重外物的结果。凡是过于看重外物，心中充满着杂念的人，内心一定是笨拙的。附录：1.夫至人者，上窥青天，下潜黄泉，挥斥八极，神气不变。——《列子·黄帝》2.泰山崩于前而色不变。——苏洵《心术》（干大事业的人遇事沉着冷静）第一空：瓦第二空：黄金,,易,100,瓦,黄金,
,填空题,夫仁者，己欲立而立人，_____________。《论语·雍也》答案：己欲达而达人,,易,100,己欲达而达人,,
,填空题,分别填一字井蛙不可以语于（     ）者，拘于虚也；夏虫不可以语于（     ）者，笃于时也；曲士不可以语于（     ）者，束于教也。——《庄子·秋水》 希望同学们背诵以上格言。【译文】井底的蛤蟆之所以不可以和它谈论大海，是因为它拘囿于自己狭小的天地里；夏季的虫子之所以不能和它谈论冰雪，因为它可怜的生存时间的限制。见识鄙薄的人之所以不能和他谈论大道，是因为他的格局器量局限了他的思维……生命是那样促狭、鄙陋又悲哀！ 【答案】分别填：海、冰、道,,易,100,海,冰,道
