目录,题目类型,大题题干,答案解析,难易度,,,,,
,单选题,“微言大义”_________笔法。,,易,《春秋》,,,,
,单选题,“微言大义”_________笔法。,,易,《春秋》,,,,
,单选题,我国第一部纪传体通史是________。,,易,《史记》,,,,
,单选题,诗风古直苍凉，朴实无华，气韵沉雄，代表了建安文学的特点的诗人是____________,,易,曹操,,,,
,单选题,被闻一多先生誉为“诗中的诗，顶峰中的顶峰”的诗篇是________,,易,《春江花月夜》,,,,
,单选题,习近平：__________________正是中国传统文化中的精华。,,易,王阳明心学,,,,
,简答题,没有原典阅读的通识课程是空洞的。我们这门课程最重要的一项要求是：必读一部中华原典，比如《论语》、《老子》、《诗经》、《孟子》、《庄子》、《楚辞》、《唐诗三百首》、《红楼梦》等等……因您马上面临繁忙的工作，不要求您快速读完。请考虑您打算读哪本，查阅相关材料，简要介绍这部原典。因这道题，给大家留下充分的答题时间，请仔细查阅、了解。,,易,,,,,
,论述题,"任选一道题作答阅读·思考·评论1.阅读以下片段 子曰：“富与贵，是人之所欲也，不以其道得之，不处也。贫与贱，是人之所恶也，不以其道得之，不去也。”《论语·里仁》 子曰：“贤哉，回也！一箪食，一瓢饮，在陋巷，人不堪其忧，回也不改其乐，贤哉，回也！”《论语·雍也》 子曰：“饭疏食，饮水，曲肱而枕之，乐亦在其中矣。不义而富且贵，于我如浮云。” 《论语·述而》 您如何看待“孔颜之乐”？（您有“衣敝缊袍，与衣狐貉者立”穿着破旧粗糙的衣服，与衣着华美的人站在一起的经历么？请真诚地谈一谈您对于贫富的看法，不要拘束，不说假话，也谈谈“孔颜之乐”对您的启示。） 2.阅读以下片段 俺曾见金陵玉殿莺啼晓，秦淮水榭花开早， 谁知容易冰消。 眼看他起高楼，眼看他宴宾客， 眼看他楼塌了。 这青苔碧瓦堆，俺曾睡风流觉， 将五十年兴亡看饱。 以上是《桃花扇·哀江南》的一段唱词，您读后有何思考？   3. 阅读以下片段 盖西伯拘而演《周易》；仲尼厄而作《春秋》；屈原放逐，乃赋《离骚》；左丘失明，厥有《国语》；孙子膑脚，《兵法》修列；不韦迁蜀，世传《吕览》；韩非囚秦，《说难》、《孤愤》；《诗》三百篇，大底圣贤发愤之所为作也。 以上选自司马迁《报任安书》，即著名的“发愤著书”说，可结合历史或现实社会生活谈谈自己的启发。  4.联合国秘书长潘基文获得第二届连任发表演说时，援引老子“天之道，利而不害，为而不争”,强调应将这不朽的智慧应用到今天的工作中。对此，您有何感想或启发？  ",,易,,,,,
,单选题,“微言大义”_________笔法。,,易,《春秋》,,,,
,单选题,以下“无为而治”的两个典型治世是：______,,易,文景之治 贞观之治,,,,
,单选题,“微言大义”_________笔法。,,易,《春秋》,,,,
,单选题,我国第一部纪传体通史是________。,,易,《史记》,,,,
,单选题,以下“无为而治”的两个典型治世是：______,,易,文景之治 贞观之治,,,,
,单选题,我国第一部纪传体通史是________。,,易,《史记》,,,,
,单选题,被闻一多先生誉为“诗中的诗，顶峰中的顶峰”的诗篇是________,,易,《春江花月夜》,,,,
,单选题,习近平：__________________正是中国传统文化中的精华。,,易,王阳明心学,,,,
,多选题,孟子三乐（   ）,,易,父母俱存，兄弟无故。,仰不愧于天，俯不怍于人。,,,
,多选题,孟子三乐,,易,父母俱存，兄弟 无故,仰不愧于天，俯不怍于人,得天下英才而教育之,,
,多选题,孟子三乐（   ）,,易,父母俱存，兄弟无故。,仰不愧于天，俯不怍于人。,得天下之英才而教育之。,,
,多选题,《乡愁四韵》中炽热的思乡爱国之情如一根红线，将富有民族特色的________________________一组意象有机地融合在一起。意以象言，情以象抒，联想自然，环环相扣，音韵和谐，感人至深。,,易,长江水,海棠红,雪花白,腊梅香,
,多选题,《乡愁四韵》中炽热的思乡爱国之情如一根红线，将富有民族特色的________________________一组意象有机地融合在一起。意以象言，情以象抒，联想自然，环环相扣，音韵和谐，感人至深。,,易,长江水,海棠红,雪花白,腊梅香,
,多选题,《老子·第十章》：“我有三宝，持而保之，一曰______，二曰___________，三曰________________”,,易,慈,俭,不敢为天下先,,
,多选题,&quot;文艺复兴&quot;画坛三杰________________________,,易,达 ·  芬奇（代表智慧）,拉斐尔（代表理性）,米开朗琪罗（代表力量）,,
,多选题,说明：考试针对湖工大学分班，请湖工大有学分要求的同学参加。      其他学校的同学可以自主参加。开卷，总分50，及格标准30分。      以下为考试正文：钱穆先生认为：“文学的起源是诗歌，亦即韵文先于散文。”那么，中华古典诗歌的两大源头是（       ）,,易,《诗经》,《楚辞》,,,
,多选题,古希腊三大哲学家______________________,,易,苏格拉底,柏拉图,亚里士多德,,
,多选题,古希腊三大哲学家______________________,,易,苏格拉底,柏拉图,亚里士多德,,
,多选题,古希腊三大哲学家______________________,,易,苏格拉底,柏拉图,亚里士多德,,
,多选题,如果想读魏晋风度，从哪些材料中可以看到（  ）,,易,《世说新语》,《兰亭集序》,,,
,单选题,“东厢坦腹”的主人公是____________。,,易,王羲之,,,,
,单选题,《蜀相》是杜甫歌颂他的偶像________的诗篇。杜甫一生的理想就是“致君尧舜上，再使风俗淳”，做贤臣，遇明君，造福天下苍生。他是一代“诗史”，也是真正的醇儒，他的诗歌充满着忧国忧民的忧患意识与热爱天地万物的仁爱精神，是儒家积极入世精神的艺术表现。,,易,诸葛亮,,,,
,单选题,“凡有井水饮处，即能歌柳词！”柳词是谁的词?,,易,柳永,,,,
,单选题,“梅妻鹤子”的宋代隐士林逋，有一句梅花诗，千古传诵，被誉为咏梅诗歌的千古绝唱。_________ ,,易,疏影横斜水清浅，暗香浮动月黄昏。,,,,
,单选题,出新意于_______之中，寄妙理于豪放之外。(苏轼),,易,法度,,,,
,单选题,“一饭三吐脯，一沐三握发”的典故最早源于________________。（洗头发的时候，总是多次停下来，把自己已经散的头发重新握起来接待宾客。有时候吃一顿饭，也要多次停下来接待宾客，比喻礼贤下士。）,,易,周公,,,,
,单选题,西汉时期司马迁私人撰述的史书，最早称为______，是中国第一部______，是二十四史之首，也是中国第一部传记体文学总集。被鲁迅先生赞叹为“史家之绝唱，无韵之离骚。”,,易,《太史公书》   纪传体通史,,,,
,单选题,陈子昂与“四杰”等对“______“的追求，使大唐诗歌走向振奋，成为盛唐诗歌的序曲。,,易,风骨,,,,
,单选题,以下句子是“有我之境”还是“无我之境”？寒波澹澹起，白鸟悠悠下。,,易,无我之境,,,,
,单选题,陆游的《卜算子·咏梅》中，“以扛鼎之力，振起全篇”的句子是:驿外断桥边，寂寞开无主。已是黄昏独自愁，更著风和雨。无意苦争春，一任群芳妒。零落成泥碾作尘，只有香如故。,,易,只有香如故,,,,
,单选题,按照我国先秦兵家孙武的观点:（                 ），善之善者也。,,易,不战而屈人之兵。,,,,
,单选题,按照钱钟书的说法，宋代诗歌以（      ）风格见长？,,易,筋骨肌理,,,,
,单选题,“东厢坦腹”的主人公是____________。,,易,王羲之,,,,
,单选题,说明：考试针对湖工大学分班，请湖工大有学分要求的同学参加。      其他学校的同学可以自主参加。开卷，总分50，及格标准30分。      以下为考试正文：出新意于_______之中，寄妙理于豪放之外。(苏轼),,易,法度,,,,
,单选题,“不尚贤”是哪一家明确提出的主张_______,,易,道家,,,,
,单选题,_____也者，天下之大本也；_____也者，天下之达道也。（《中庸》）,,易,中、和,,,,
,单选题,《孙子兵法》：__________________，善之善者也。,,易,不战而屈人之兵,,,,
,单选题,全球出版发行量第二，仅次于《圣经》的经典是_______。,,易,《老子》,,,,
,单选题,含德之厚，比于______。（《老子·五十五章》）,,易,赤子,,,,
,单选题,《蜀相》是杜甫歌颂他的偶像________的诗篇。杜甫一生的理想就是“致君尧舜上，再使风俗淳”，做贤臣，遇明君，造福天下苍生。他是一代“诗史”，也是真正的醇儒，他的诗歌充满着忧国忧民的忧患意识与热爱天地万物的仁爱精神，是儒家积极入世精神的艺术表现。,,易,诸葛亮,,,,
,单选题,“凡有井水饮处，即能歌柳词！”柳词是谁的词?,,易,柳永,,,,
,单选题,“梅妻鹤子”的宋代隐士林逋，有一句梅花诗，千古传诵，被誉为咏梅诗歌的千古绝唱。_________ ,,易,疏影横斜水清浅，暗香浮动月黄昏。,,,,
,单选题,出新意于_______之中，寄妙理于豪放之外。(苏轼),,易,法度,,,,
,单选题,《孙子兵法》：“_________________，善之善者也。”,,易,不战而屈人之兵,,,,
,多选题,多选：《诗经》分为哪三部分？___________________,,易,风,雅,颂,,
,单选题,以下哪种不属于儒家的“仁爱”思想的内在意涵的是_______,,易,兼爱尚同 节葬节用,,,,
,单选题,儒家最核心的概念是（   ）,,易,仁,,,,
,单选题,王国维的观点：“词以______为上”——《人间词话》,,易,境界 ,,,,
,单选题,白先勇先生认为，中华民族的“雅乐”是_________,,易,昆曲,,,,
,单选题,王国维：“吾国人之精神，世间的也，乐天的也，故代表其精神之戏曲小说，无往而不着此乐天之色彩。始于悲者终于欢，始于离者终于合，始于困者终于亨”，超越了这种精神的小说戏剧是,,易,《红楼梦》、《桃花扇》,,,,
,单选题,被称为“亚圣”的先秦哲人是_____________,,易,孟子,,,,
,单选题,明清小说的最高峰_______,,易,《红楼梦》,,,,
,单选题,王羲之的代表作____________，不仅文字优美，更是我国书法艺术的瑰宝。,,易,《兰亭集序》,,,,
,单选题,庄子终其天年而物化，化为中华民族永恒的梦中_______，物我两忘，成了古典中国顺道文化之魂。,,易,蝴蝶,,,,
,单选题,宋代名士林逋，雅好梅花，有句_______被誉为咏梅诗歌的千古绝唱。,,易,疏影横斜水清浅，暗香浮动月黄昏。,,,,
,单选题,明清小说的最高峰_______,,易,《红楼梦》,,,,
,单选题,王国维的观点：“词以______为上”,,易,境界,,,,
,单选题,学分班最后一次考试。有学分要求的伙伴必须参加，“考试”版块取所有考试平均分。本次试题稍偏难，限时25分钟。“慈母有败子，严家无悍虏”是哪一家的观点（   ）,,易,法,,,,
,单选题,“新沐者必弹冠，新浴者必振衣”的原始主人公是谁（   ）,,易,屈原,,,,
,单选题,白先勇先生认为，中华民族的“雅乐”是_______,,易,昆曲,,,,
,单选题,先秦诸子中，“浩然之气”，“大丈夫”风格是哪一位?,,易,孟子,,,,
,单选题,以下哪种不属于儒家的“仁爱”思想的内在意涵的是_______,,易,兼爱尚同 节葬节用,,,,
,单选题,以下哪种不属于儒家的“仁爱”思想的内在意涵的是_______,,易,兼爱尚同 节葬节用,,,,
,单选题,被称为“亚圣”的先秦哲人是_____________,,易,孟子,,,,
,单选题,儒家最核心的概念是（   ）,,易,仁,,,,
,单选题,被称为“亚圣”的先秦哲人是_____________,,易,孟子,,,,
,单选题,中国的绘画讲究_______，虚实相生，无画之处皆成妙境。,,易,留白,,,,
,单选题,儒家最核心的概念是（   ）,,易,仁,,,,
,单选题,王国维的观点：“词以______为上”——《人间词话》,,易,境界 ,,,,
,单选题,白先勇先生认为，中华民族的“雅乐”是_________,,易,昆曲,,,,
,单选题,王国维：“吾国人之精神，世间的也，乐天的也，故代表其精神之戏曲小说，无往而不着此乐天之色彩。始于悲者终于欢，始于离者终于合，始于困者终于亨”，超越了这种精神的小说戏剧是,,易,《红楼梦》、《桃花扇》,,,,
,单选题,被称为“亚圣”的先秦哲人是_____________,,易,孟子,,,,
,单选题,明清小说的最高峰_______,,易,《红楼梦》,,,,
,单选题,王羲之的代表作____________，不仅文字优美，更是我国书法艺术的瑰宝。,,易,《兰亭集序》,,,,
,单选题,六经之首是_________。,,易,《周易》,,,,
,单选题,明代大思想家________是心学的集大成者，被誉为“三不朽”（立德、立言、立功）的圣人。,,易,王阳明,,,,
,单选题,六经之首是_________。,,易,《周易》,,,,
,单选题,沈从文的作品，最突出典型的意象是_______________,,易,水,,,,
,单选题,他的山水田园诗塑造了空明境界与宁静之美。他被称为“诗佛”。他也是杰出的画家，对自然的观察、感受、觉知非常敏锐。有赞云：“诗中有画，画中有诗”。又有赞云：“诗中有画，诗中有乐，诗中有禅”。他是(       ),,易,王维,,,,
,单选题,《饮冰室合集》是谁的代表作？,,易,梁启超,,,,
,单选题,六经之首是_________。,,易,《周易》,,,,
,单选题,杜甫讴歌自己偶像的诗歌是（    ）,,易,蜀相,,,,
,单选题,依孔子看来，以下最高境界是（     ）,,易,乐之,,,,
,单选题,您认为“逍遥自在   过化存神”应是先秦（      ）家中提炼出的主题?,,易,道,,,,
,单选题,六经之首是_________。,,易,《周易》,,,,
,单选题,明代大思想家________是心学的集大成者，被誉为“三不朽”（立德、立言、立功）的圣人。,,易,王阳明,,,,
,单选题,中华传统文化号为儒释道三家并存，释家文化作为外来文化传入中国的朝代是_______,,易,东汉,,,,
,单选题,六经之首是_________。,,易,《周易》,,,,
,单选题,六经之首是_________。,,易,《周易》,,,,
,单选题,沈从文的作品，最突出典型的意象是_______________,,易,水,,,,
,单选题,他的山水田园诗塑造了空明境界与宁静之美。他被称为“诗佛”。他也是杰出的画家，对自然的观察、感受、觉知非常敏锐。有赞云：“诗中有画，画中有诗”。又有赞云：“诗中有画，诗中有乐，诗中有禅”。他是(       ),,易,王维,,,,
,单选题,《饮冰室合集》是谁的代表作？,,易,梁启超,,,,
,单选题,难度题，根据画风推测，这幅画是哪个朝代的作品?（    ）鹤是祥瑞的鸟，是脱俗的象征。鹤是一品的象征，古代一品官服图案为鹤。群鹤盘桓于殿宇之上，象征飞扬与自由。也象征着良师与友朋云集。这是课程主题画之一。,,易,宋,,,,
,多选题,史学大家钱穆、许倬云皆推重的四部中华原典，“新四书”是哪四部（        ）我们多次讨论“重视原典”，在此诚恳地希望大家重视原典精读。这应比这门课本身使大家更深受益。每天只读一点，日积月累，这或许是课程最后最有价值的寄语。,,易,《大学》,《论语》,《孟子》,《中庸》,
,填空题,蒹葭苍苍，白露为霜。所谓伊人，（         ）。溯洄从之，道阻且长。溯游从之，宛在水中央。——《诗经·秦风》,,易,在水一方,,,,
,填空题,青青子衿，（           ）。纵我不往，子宁不嗣音？——《诗经·郑风》,,易,悠悠我心,,,,
,填空题,彼黍离离，彼稷之苗。行迈靡靡，中心摇摇。知我者，谓我心忧；不知我者，（            ）。悠悠苍天，彼何人哉！《诗经·王风》,,易,谓我何求,,,,
,填空题,举世皆浊我独清，众人皆醉（       ）。新沐者必弹冠，新浴者必（        ）。沧浪之水清兮，可以濯我缨。沧浪之水浊兮，可以濯我（   ）。——《楚辞》,,易,我独醒,振衣,足,,
,填空题,山无陵，江水为竭，冬雷震震，（       ），天地合，乃敢与君绝！——《汉乐府民歌》,,易,夏雨雪,,,,
,填空题,盈盈一水间，（              ）。——《古诗十九首》,,易,脉脉不得语,,,,
,填空题,山不厌高，海不厌深，周公吐哺，（                ）。——曹操《短歌行》,,易,天下归心,,,,
,填空题,采菊东篱下，（               ）。——陶渊明《饮酒》,,易,悠然见南山,,,,
,填空题,（                           ），举杯消愁愁更愁。——李白,,易,抽刀断水水更流,,,,
,填空题,映阶碧草自春色，（                     ）。——杜甫《蜀相》,,易,隔叶黄鹂空好音,,,,
,填空题,在天愿做比翼鸟，（                         ），天长地久有时尽，此恨绵绵无绝期。,,易,在地愿为连理枝,,,,
,填空题,昆山玉碎凤凰叫，（                         ）。——李贺《李凭箜篌引》,,易,芙蓉泣露香兰笑,,,,
,填空题,（                          ），望帝春心托杜鹃。——李商隐《锦瑟》,,易,庄生晓梦迷蝴蝶,,,,
,填空题,疏影横斜水清浅，（                         ）。——林逋《山园小梅》,,易,暗香浮动月黄昏,,,,
,填空题,不忍登高临远，望故乡渺邈，（               ）——柳永《八声甘州》,,易,归思难收,,,,
,填空题,人生到处知何似，应似（                   ）。泥上偶然留指爪，鸿飞那复计东西？——苏轼《和子由渑池怀旧》,,易,飞鸿踏雪泥,,,,
,填空题,难度题：花自飘零水自流，一种相思，（                ）。此情无计可消除，才下眉头，却上心头。——李清照《一剪梅》,,易,两处闲愁,,,,
,填空题,江流宛转绕芳甸，月照花林皆似霰。空里流霜不觉飞，（                        ）——《春江花月夜》,,易,汀上白沙看不见,,,,
,填空题,难度题：木末芙蓉花，山中发红萼。（                ），纷纷开且落。——王维《辛夷坞》,,易,涧户寂无人,,,,
,填空题,难度题：前不见古人，（                ），念天地之悠悠，独怆然而涕下！——陈子昂《登幽州台歌》,,易,后不见来者,,,,
,填空题,蒹葭苍苍，白露为霜。所谓伊人，（         ）。溯洄从之，道阻且长。溯游从之，宛在水中央。——《诗经·秦风》,,易,在水一方,,,,
,填空题,青青子衿，（           ）。纵我不往，子宁不嗣音？——《诗经·郑风》,,易,悠悠我心,,,,
,填空题,彼黍离离，彼稷之苗。行迈靡靡，中心摇摇。知我者，谓我心忧；不知我者，（            ）。悠悠苍天，彼何人哉！《诗经·王风》,,易,谓我何求,,,,
